index,CityST,AirportDist,pop,lon,lat,BaseDist,count,per_capita,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4432,"Southwest Ranches, FL",11.5720800075,7345.0,-80.3372733,26.0587001,62.9675861207,1,0.000136147038802,3.40177600784,7.93521178802,0.0116682063232,0.0514441583813,2.44859530098,4.14262008797,-8.90177508861
4433,"San Pablo, CA",14.3360368997,29408.0,-122.3455263,37.9621457,48.6141489861,4,0.000136017410229,3.78629593398,6.97238474169,0.0116626502232,0.0514278261607,2.66277643015,3.88391461994,-8.90272766404
4434,"Dallas, TX",9.40165245381,1159644.00637,-96.7965285159,32.7755229146,15.8852793531,157,0.000135386376455,3.06621141701,3.98563412183,0.0116355651541,0.0513481721137,2.24088546678,2.76539285353,-8.90737781957
4435,"Walnut, CA",11.0567245476,29588.0,-117.8653386,34.0202894,35.539804701,4,0.000135189941868,3.32516534139,5.96152704439,0.0116271209621,0.0513233260905,2.40303879921,3.57065332752,-8.90882979159
4436,"Cambridge, MA",5.78240256763,103656.571429,-71.1302702536,42.3755152,15.0896975755,14,0.000135061384021,2.40466267232,3.88454599348,0.0116215912861,0.0513070524221,1.75481926546,2.71401223119,-8.90978118642
4437,"Mount Joy, PA",17.6719770307,7410.0,-76.5033406,40.1098561,23.9959370478,1,0.000134952766532,4.20380506574,4.89856479469,0.011616917256,0.0512932948806,2.87198016636,3.17788452634,-8.91058571829
4438,"Rialto, CA",12.5320560851,96364.0769231,-117.3703235,34.1064001,27.0972114811,13,0.000134905043613,3.54006441821,5.2054981972,0.0116148630475,0.0512872479393,2.52828984843,3.29943082521,-8.91093940766
4439,"Central Point, OR",3.23430238214,14831.0,-122.9127212,42.3767823,99.9376578815,2,0.000134852673454,1.79841663197,9.99688240811,0.0116126083829,0.0512806105079,1.17381325775,4.6045465704,-8.91132768318
4440,"Mequon, WI",13.1011074658,22259.3333333,-87.9822969,43.2219088,31.3261303944,3,0.000134774925874,3.61954520151,5.59697511111,0.01160926035,0.0512707535538,2.57269676601,3.44445258615,-8.91190438663
4441,"Carl Junction, MO",6.57047632906,7445.0,-94.5655066,37.1767249,43.4573013727,1,0.000134318334453,2.56329403874,6.59221520983,0.0115895787004,0.0512127895769,1.88258633049,3.77177887839,-8.91529794512
4442,"Watertown, WI",21.6986357902,22352.3333333,-88.7286352,43.1948481,49.6087762104,3,0.000134214176,4.65817945019,7.04334978617,0.0115850842034,0.0511995483358,3.07724939176,3.9041677578,-8.91607370563
4443,"New Orleans, LA",11.0458665702,432239.103448,-90.0701156,29.9499323,1.2655329429,58,0.000134184990523,3.32353224299,1.12495908499,0.0115838245206,0.0511958368761,2.40205629194,0.235493332193,-8.91629118377
4444,"Waltham, MA",11.3609174004,59625.0,-71.2358004,42.3756401,10.2523104726,8,0.000134171907757,3.37059600077,3.20192293358,0.011583259807,0.0511941729916,2.43017916711,2.32750309214,-8.91638868651
4445,"Batesville, MS",61.3603839072,7463.0,-89.9428679,34.2409438,64.4643689695,1,0.000133994372236,7.83328691592,8.0289706046,0.0115755938179,0.051171583077,4.11676441368,4.16611265208,-8.91771275713
4446,"Forest City, NC",56.2202033177,7476.0,-81.7587106,35.3290128,74.9081278443,1,0.000133761369716,7.49801329138,8.65494817109,0.0115655250515,0.0511419051502,4.02927618194,4.31626240058,-8.91945316858
4447,"Pineville, NC",16.3542643107,7479.0,-80.8497981,35.0882733,17.0702885683,1,0.000133707714935,4.04404059212,4.1316205741,0.0115632052189,0.0511350661684,2.79448867745,2.83733944166,-8.91985437219
4448,"Salem, IL",55.1319781179,7485.0,-88.790334,38.6161588,92.4962992935,1,0.000133600534402,7.42509111849,9.61749963834,0.0115585697386,0.0511213991716,4.00972991293,4.52716863608,-8.92065629685
4449,"Oak Grove, KY",36.7435086899,7489.0,-86.7547121,37.3442149,40.6804708168,1,0.000133529176125,6.06164240861,6.37812439647,0.0115554825137,0.0511122959529,3.60396157577,3.70574814478,-8.92119055625
4450,"Sanger, CA",16.3188926039,22490.3333333,-119.5559652,36.708006,16.2859999068,3,0.000133390641905,4.03966491233,4.03559164272,0.0115494866512,0.0510946137944,2.79232349208,2.79030583732,-8.92222857758
4451,"Braselton, GA",10.8095968802,7511.0,-83.6779474,34.1623292,35.5549293666,1,0.000133138064173,3.28779513963,5.96279543223,0.0115385468831,0.0510623438749,2.38043433958,3.57107880674,-8.92412389169
4452,"Bartlett, TN",16.9198800195,52603.0,-89.8745109714,35.1988748429,14.7836488273,7,0.000133072258236,4.11337817609,3.84495108256,0.0115356949611,0.0510539296544,2.82848926311,2.69352176105,-8.92461828226
4453,"Fall River, MA",16.6524757898,90268.25,-71.1546367,41.7010642,24.6732422398,12,0.000132937106901,4.08074451415,4.96721674983,0.0115298355106,0.0510366399399,2.81255890146,3.2057193463,-8.92563442203
4454,"Raytown, MO",13.6671374681,30102.25,-94.4635638,39.0086171,21.5400711531,4,0.000132880432526,3.69690917769,4.64112821985,0.0115273775216,0.0510293861819,2.61499422633,3.06991497502,-8.92606083765
4455,"Alhambra, CA",10.6926214143,82904.2727273,-118.1268242,34.0927361,30.3534380922,11,0.00013268314935,3.26995740252,5.50939543799,0.0115188171854,0.051004119794,2.36955391614,3.41290979255,-8.92754660774
4456,"Orono, MN",31.6818640631,7538.0,-93.6044033,44.9713519,33.1440172548,1,0.000132661183338,5.62866450085,5.75708409308,0.0115178636621,0.0510013050208,3.45574440559,3.50086222538,-8.92771217383
4457,"Jennings, MO",9.97245310676,15090.5,-90.25525815,38.7129608,10.0002144945,2,0.000132533713263,3.15791911023,3.16231157455,0.0115123287507,0.0509849645878,2.29982660253,2.30260654221,-8.92867350518
4458,"Prichard, AL",9.8008296779,22659.0,-88.2284457,30.7618291333,49.1654939248,3,0.000132397722759,3.13062768114,7.01181103031,0.0115064209361,0.0509675203626,2.2824670431,3.89519203445,-8.92970011431
4459,"Lafayette, CA",12.7372616676,22761.6666667,-122.1180201,37.8857582,44.8597519091,3,0.000131800541847,3.56893004521,6.69774229939,0.0114804417096,0.0508907750668,2.54453168729,3.80354099874,-8.93422082478
4460,"Jasper, TX",63.4366075634,7590.0,-93.9965759,30.9201995,92.1273339986,1,0.000131752305665,7.96471013681,9.59829849497,0.0114783407192,0.0508845659973,4.15004110117,4.52317168532,-8.93458687039
4461,"Taylor, TX",28.4871421494,15191.0,-97.4094438,30.5707551,43.5725246102,2,0.000131656902113,5.33733474212,6.60094876591,0.0114741841589,0.0508722809737,3.34945283282,3.77442678222,-8.93531124565
4462,"Champlin, MN",15.473213978,22790.3333333,-93.3974538,45.1888539,22.9589621158,3,0.000131634757426,3.93360063784,4.79155111794,0.0114732191396,0.0508694285751,2.73911039853,3.13370836641,-8.93547945976
4463,"Greenwood, MS",9.12285910506,15205.0,-90.1795281,33.5162315,47.5052548932,2,0.000131535679053,3.02040710916,6.89240559552,0.0114689005163,0.0508566626324,2.21078325332,3.86084033425,-8.93623241955
4464,"West Valley City, UT",10.9382299882,129480.0,-112.000004324,40.6925935765,10.5903543232,17,0.000131294408403,3.30729950083,3.25428245904,0.0114583772151,0.0508255488184,2.39226399123,2.35994361733,-8.93806836398
4465,"Mauldin, SC",15.4297834754,22889.0,-82.310119,34.77873,133.682773516,3,0.000131067324916,3.92807630723,11.5621266866,0.0114484638671,0.0507962297143,2.73629963357,4.8954696315,-8.93979943612
4466,"Southgate, MI",11.8086689574,30572.0,-83.2046022015,42.2061167,35.296902812,4,0.000130838675913,3.43637439133,5.94111965979,0.0114384734957,0.0507666742479,2.46883391915,3.56379522105,-8.94154547524
4467,"Norfolk, VA",2.94669552529,244729.25,-76.2582036151,36.9281542,2.8311912217,32,0.000130756744443,1.71659416441,1.68261440078,0.0114348915361,0.0507560753005,1.08068438158,1.04069754949,-8.94217187361
4468,"Park Forest, IL",13.0027752986,22966.3333333,-87.6744891,41.4914236,41.9626412669,3,0.000130625988766,3.6059361196,6.47785776834,0.011429172707,0.0507391511043,2.56516281918,3.7367797288,-8.94317236577
4469,"Whitehouse, TX",21.8373323515,7660.0,-95.2255041,32.2268212,112.643049005,1,0.000130548302872,4.67304315746,10.6133429703,0.0114257736225,0.0507290905795,3.08362099834,4.72422396062,-8.94376726273
4470,"Morton Grove, IL",4.18379336618,22997.0,-87.7825696,42.0405857,30.3803430625,3,0.000130451798061,2.04543231767,5.51183663242,0.0114215497224,0.050716587396,1.43121833887,3.41379578948,-8.94450676295
4471,"Collierville, TN",21.3123308624,30856.75,-89.6645266,35.042036,28.8723701138,4,0.000129631280028,4.61652800949,5.37330160272,0.0113855733289,0.0506100309791,3.05928581894,3.36288508638,-8.95081644493
4472,"Pittston, PA",5.68160240682,7739.0,-75.7893604,41.3259134,12.8032528065,1,0.000129215660938,2.38361121134,3.57816332865,0.0113673066704,0.0505558850581,1.73723330682,2.54969926415,-8.95402775927
4473,"North Charleston, SC",7.85055719361,93013.5,-79.9748103,32.8546197,7.23195886641,12,0.000129013530294,2.80188457892,2.68923016241,0.011358412314,0.0505295099613,2.06058450935,1.97850993535,-8.9555932731
4474,"Hopatcong, NJ",21.7912750971,15517.5,-74.6600975,40.9332051,9.21145098555,2,0.000128886740777,4.66811258402,3.03503722968,0.0113528296374,0.0505129517186,3.08150966478,2.22044738243,-8.95657651773
4475,"Eden, NC",46.0582033213,15527.0,-79.7667026,36.4884715,99.7052607748,2,0.000128807883042,6.78661943248,9.98525216381,0.0113493560629,0.0505026477117,3.82990588628,4.60221844162,-8.95718854242
4476,"Emerson, NJ",14.3203661716,7793.0,-74.0262505,40.976209,37.0225043602,1,0.000128320287437,3.7842259673,6.08461209612,0.011327854494,0.0504388420759,2.66168273185,3.6115259537,-8.96098117384
4477,"Benton Harbor, MI",2.49661042889,15594.0,-86.4541894,42.1167065,94.7820660537,2,0.000128254456842,1.58006659002,9.73560815017,0.0113249484256,0.0504302152587,0.914933983463,4.55158021472,-8.96149432331
4478,"Box Elder, SD",4.58877519225,7800.0,-103.0682323,44.1124877,5.3898195042,1,0.000128205128205,2.14214266384,2.3215984804,0.0113227703414,0.0504237490175,1.52361314582,1.6845118972,-8.96187901268
4479,"Richland Hills, TX",12.5641867693,7801.0,-97.2280695,32.8159623,20.6203123282,1,0.000128188693757,3.54459966277,4.54095940614,0.0113220445926,0.0504215943405,2.530850447,3.02627662533,-8.96200720959
4480,"Bennington, VT",38.4323591227,15700.0,-73.1971692,42.8783183,45.1462049459,2,0.000127388535032,6.19938376959,6.71909256864,0.0112866529597,0.050316464121,3.64889979022,3.80990622198,-8.96826881078
4481,"White Oak, PA",10.422665342,7862.0,-79.8092133,40.3375695,19.520686285,1,0.000127194098194,3.22841529887,4.41822207285,0.0112780360965,0.0502908512562,2.3439827946,2.97147473841,-8.96979630598
4482,"Pulaski, TN",57.2084407203,7870.0,-87.0308412,35.1998023,66.8447156732,1,0.00012706480305,7.56362616212,8.17586176945,0.0112723024733,0.0502738049533,4.04670145254,4.2023722529,-8.97081334141
4483,"Owosso, MI",35.4073858351,15758.0,-84.1766359,42.9978049,108.39025627,2,0.000126919659855,5.95041056021,10.4110641276,0.0112658625882,0.0502546554574,3.56692043779,4.68573819816,-8.97195627125
4484,"South Beloit, IL",14.1470985723,7892.0,-89.0367764,42.4930708,75.3529287691,1,0.000126710593006,3.76126289593,8.68060647473,0.0112565799871,0.0502270465045,2.64950955517,4.32218279318,-8.97360486714
4485,"Wilson, PA",17.1515878086,7896.0,-75.2418439,40.6839875,53.5773515537,1,0.000126646403242,4.1414475499,7.31965515265,0.0112537284152,0.0502185636389,2.84209075292,3.98112643314,-8.97411158111
4486,"Shelton, CT",14.1032300387,39559.0,-73.0931641,41.3164856,65.2665199866,5,0.000126393488207,3.75542674522,8.07876970749,0.0112424858553,0.050185112251,2.64640385191,4.17847919403,-8.97611059492
4487,"Lakewood, OH",8.92254535977,55424.2857143,-81.7981908,41.4819932,70.598100732,7,0.000126298425136,2.98706299896,8.40226759464,0.0112382572108,0.050172527353,2.18858126012,4.25700324232,-8.97686299792
4488,"Madison, NJ",0.349657482548,15845.0,-74.417097,40.7598227,23.8060859016,2,0.000126222783212,0.591318427371,4.87914807129,0.0112348913307,0.0501625090059,-1.05080122495,3.16994125814,-8.97746209157
4489,"Boston, MA",0.65229191741,610070.155844,-71.0595678,42.3604823,21.0866951565,77,0.000126214992263,0.80764591091,4.59202516941,0.0112345445953,0.0501614769112,-0.427263091166,3.04864228029,-8.97752381726
4490,"Broadview, IL",12.0470122194,7932.0,-87.8533931,41.8639201,49.5107011786,1,0.000126071608674,3.47088061152,7.03638409829,0.0112281614111,0.0501424747896,2.48881668059,3.90218883164,-8.97866048964
4491,"De Pere, WI",6.83476975302,23800.0,-88.0601086,44.4487476,166.87528491,3,0.000126050420168,2.61433925745,12.9180217104,0.0112272178285,0.05013966553,1.92202278314,5.11724673648,-8.97882857099
4492,"El Mirage, AZ",9.95433450159,31797.0,-112.3244866,33.6130338,9.06717820056,4,0.000125798031261,3.155049049,3.01117555127,0.0112159721496,0.0501061785309,2.29800808461,2.20466110222,-8.98083286358
4493,"Albemarle, NC",44.8219065465,15903.0,-80.2192225,35.4431965,70.2558972224,2,0.000125762434761,6.69491647046,8.38187909853,0.0112143851709,0.0501014519788,3.80269700532,4.25214425092,-8.9811158691
4494,"Framingham, MA",22.3234056635,63625.0,-71.416172,42.2792625,23.4700875981,8,0.000125736738703,4.72476514374,4.84459364633,0.0112132394384,0.0500980394667,3.10563570936,3.1557267422,-8.98132021217
4495,"San Gabriel, CA",12.6289624268,39769.6,-118.1058333,34.0961111,32.097924165,5,0.000125724171226,3.5537251479,5.66550299312,0.0112126790388,0.0500963702995,2.53599278151,3.46879136029,-8.98142016788
4496,"Groves, TX",9.98350067656,15938.5,-93.9171155,29.9482695,126.39329986,2,0.000125482322678,3.15966781111,11.2424774787,0.0112018892459,0.0500642271525,2.30093379801,4.83939847287,-8.98334566447
4497,"Coconut Creek, FL",6.1118490246,39847.6,-80.1789351,26.2517482,86.8198810786,5,0.000125478071452,2.47221540821,9.31771866277,0.0112016994895,0.0500636617695,1.81022935009,4.46383564012,-8.98337954412
4498,"Cedar Hill, TX",13.1548056978,39854.0,-96.9561152,32.5884689,17.529222274,5,0.000125457921413,3.62695543091,4.1867914056,0.0112008000345,0.0500609817826,2.57678714417,2.86386933252,-8.98354014316
4499,"Quincy, FL",2.74320865426,7972.0,-84.5832619,30.5871948,112.908756262,1,0.000125439036628,1.65626346161,10.6258532016,0.0111999569922,0.0500584698161,1.00912827697,4.72658002583,-8.98369068133
