,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
14,"Fenton, MO",-90.4401794,4064.25,23.8276162699,38.5132838,26.0947316289,24,0.00592103868683,0.00590514855139,4.88135393819,5.10830026808,0.0769482857953,0.180911413228,3.17084525547,3.26173344065,-5.12924339162
15,"Sonora, CA",-120.3821381,4636.33333333,44.5866638613,37.9840911,55.7398966368,27,0.00583884446206,0.0058235674743,6.67732460356,7.46591565964,0.0764123318716,0.180070388747,3.79743479775,4.02069616767,-5.14322236781
16,"Port Richey, FL",-82.7195451,2707.8,33.048547135,28.2716755,52.1956985174,15,0.00555108535049,0.00553955240417,5.74878657936,7.2246590589,0.0745056061682,0.177062245767,3.49797760572,3.95500008761,-5.1937618117
17,"Lisbon, OH",-80.76263086,2803.4,22.4427381954,40.7731237067,52.9572827954,15,0.00535083003727,0.00535064564457,4.73737672087,7.27717546823,0.0731493679896,0.174906944129,3.11096709618,3.96948560358,-5.23050358295
18,"Orchard Park, NY",-78.7442216621,3254.47058824,15.4935422442,42.7619115,40.9837839261,17,0.00522374742853,0.00522358384846,3.93618371576,6.40185784957,0.0722754967366,0.173511150759,2.7404233077,3.71317647447,-5.25454023647
19,"Buckeye, AZ",-112.57799973,39338.494382,13.6712210138,33.394272991,24.1404700406,89,0.00518572355004,0.00226241500592,3.6974614283,4.91329523239,0.0720119681028,0.173089126785,2.61529296743,3.18388968692,-5.26184590026
20,"Gig Harbor, WA",-122.5878659,6538.7,6.49397326336,47.3259697,22.8992597657,30,0.00484514309486,0.00458806796458,2.5483275424,4.7853171019,0.0696070621048,0.169213705524,1.87087455654,3.1311045854,-5.32977849953
21,"Myrtle Point, OR",-124.006110192,2477.25,86.1714341451,42.8154971583,191.057782407,12,0.00484483952291,0.00484408113836,9.28285700337,13.8223652971,0.0696048814589,0.169210171427,4.45633873232,5.25257590799,-5.3298411564
22,"Thermopolis, WY",-107.65433588,3135.4,73.2866925677,43.2334984667,253.101024658,15,0.00480256514835,0.00478407858646,8.56076471863,15.9091490865,0.0693005421938,0.168716576736,4.2943790449,5.53378871597,-5.33860509791
23,"Black River Falls, WI",-90.8301090118,3602.94117647,45.9831419979,44.3219894588,34.3914979648,17,0.00471940214906,0.00471836734694,6.78108708084,5.86442648217,0.0686979049831,0.167737047888,3.82827485101,3.53780938165,-5.35607315074
